iter	Passed	Remaining
1600	35930	76282
1601	35953	76261
1602	35976	76239
1603	36000	76219
1604	36023	76199
1605	36045	76175
1606	36067	76151
1607	36088	76126
1608	36110	76103
1609	36132	76079
1610	36154	76057
1611	36177	76035
1612	36201	76015
1613	36223	75993
1614	36247	75974
1615	36269	75950
1616	36291	75926
1617	36325	75928
1618	36347	75906
1619	36374	75891
1620	36401	75880
1621	36438	75886
1622	36468	75879
1623	36500	75877
1624	36522	75854
1625	36543	75829
1626	36567	75808
1627	36593	75793
1628	36616	75772
1629	36638	75748
1630	36660	75725
1631	36681	75701
1632	36704	75678
1633	36728	75660
1634	36753	75642
1635	36776	75620
1636	36797	75595
1637	36826	75586
1638	36851	75569
1639	36875	75550
1640	36898	75529
1641	36932	75528
1642	36959	75516
1643	36995	75521
1644	37047	75559
1645	37079	75556
1646	37105	75539
1647	37130	75523
1648	37155	75504
1649	37181	75488
1650	37207	75475
1651	37232	75455
1652	37257	75439
1653	37280	75418
1654	37303	75395
1655	37326	75375
1656	37362	75378
1657	37385	75356
1658	37407	75334
1659	37430	75312
1660	37454	75292
1661	37502	75320
1662	37530	75309
